#program #nr-of-threads #vector-size #elapsed-time-in-seconds-to-run-the-program

gram2 2 10x10 0.000669
gram2 2 50x50 0.003034
gram2 2 100x100 0.007004
gram2 2 200x200 0.021800
gram2 2 300x300 0.054285
gram2 2 400x400 0.091208
gram2 2 500x500 0.140536
gram2 2 600x600 0.240309
gram2 2 700x700 0.372899
gram2 2 800x800 0.547586
gram2 2 900x900 0.789614
gram2 2 1000x1000 1.093973
gram2 2 1200x1200 1.934338
gram2 2 1400x1400 3.168719
gram2 2 1600x1600 5.173598
gram2 2 1800x1800 8.278772
gram2 2 2000x2000 12.166860

gram2 4 10x10 0.001225
gram2 4 50x50 0.005274
gram2 4 100x100 0.010754
gram2 4 200x200 0.020839
gram2 4 300x300 0.047228
gram2 4 400x400 0.080943
gram2 4 500x500 0.129219
gram2 4 600x600 0.208865
gram2 4 700x700 0.305045
gram2 4 800x800 0.433545
gram2 4 900x900 0.600260
gram2 4 1000x1000 0.765530
gram2 4 1200x1200 1.019618
gram2 4 1400x1400 1.642922
gram2 4 1600x1600 2.550319
gram2 4 1800x1800 3.582344
gram2 4 2000x2000 5.015328

gram2 8 10x10 0.004419
gram2 8 50x50 0.021340
gram2 8 100x100 0.030655
gram2 8 200x200 0.065047
gram2 8 300x300 0.099463
gram2 8 400x400 0.139483
gram2 8 500x500 0.185273
gram2 8 600x600 0.240526
gram2 8 700x700 0.309403
gram2 8 800x800 0.406255
gram2 8 900x900 0.514954
gram2 8 1000x1000 0.628944
gram2 8 1200x1200 0.987635
gram2 8 1400x1400 1.451441
gram2 8 1600x1600 2.087494
gram2 8 1800x1800 2.912531
gram2 8 2000x2000 3.930290

gram2 16 10x10 0.010704
gram2 16 50x50 0.052148
gram2 16 100x100 0.066763
gram2 16 200x200 0.136581
gram2 16 300x300 0.212102
gram2 16 400x400 0.287833
gram2 16 500x500 0.370030
gram2 16 600x600 0.456829
gram2 16 700x700 0.551393
gram2 16 800x800 0.654716
gram2 16 900x900 0.765156
gram2 16 1000x1000 0.880269
gram2 16 1200x1200 1.132176
gram2 16 1400x1400 1.447817
gram2 16 1600x1600 1.852542
gram2 16 1800x1800 2.453980
gram2 16 2000x2000 3.508818

gram2 32 10x10 0.023161
gram2 32 50x50 0.114619
gram2 32 100x100 0.140520
gram2 32 200x200 0.274094
gram2 32 300x300 0.430427
gram2 32 400x400 0.588346
gram2 32 500x500 0.747908
gram2 32 600x600 0.910652
gram2 32 700x700 1.078521
gram2 32 800x800 1.249454
gram2 32 900x900 1.430132
gram2 32 1000x1000 1.608028
gram2 32 1200x1200 2.019555
gram2 32 1400x1400 2.462002
gram2 32 1600x1600 2.974586
gram2 32 1800x1800 3.594466
gram2 32 2000x2000 4.580512


gram3 2 10x10 0.000272
gram3 2 50x50 0.000617
gram3 2 100x100 0.001836
gram3 2 200x200 0.010530
gram3 2 300x300 0.029224
gram3 2 400x400 0.065581
gram3 2 500x500 0.111383
gram3 2 600x600 0.190951
gram3 2 700x700 0.303908
gram3 2 800x800 0.465836
gram3 2 900x900 0.654981
gram3 2 1000x1000 0.926059
gram3 2 1200x1200 1.659990
gram3 2 1400x1400 2.878197
gram3 2 1600x1600 4.811337
gram3 2 1800x1800 7.514201
gram3 2 2000x2000 11.115009

gram3 4 10x10 0.000526
gram3 4 50x50 0.001869
gram3 4 100x100 0.003641
gram3 4 200x200 0.007931
gram3 4 300x300 0.020137
gram3 4 400x400 0.043659
gram3 4 500x500 0.070482
gram3 4 600x600 0.107554
gram3 4 700x700 0.163814
gram3 4 800x800 0.246608
gram3 4 900x900 0.347296
gram3 4 1000x1000 0.474483
gram3 4 1200x1200 0.845681
gram3 4 1400x1400 1.384296
gram3 4 1600x1600 2.295463
gram3 4 1800x1800 3.072608
gram3 4 2000x2000 5.052821

gram3 8 10x10 0.001018
gram3 8 50x50 0.002808
gram3 8 100x100 0.005186
gram3 8 200x200 0.009165
gram3 8 300x300 0.015845
gram3 8 400x400 0.028598
gram3 8 500x500 0.047358
gram3 8 600x600 0.072121
gram3 8 700x700 0.106344
gram3 8 800x800 0.153129
gram3 8 900x900 0.209888
gram3 8 1000x1000 0.284598
gram3 8 1200x1200 0.498574
gram3 8 1400x1400 0.686153
gram3 8 1600x1600 1.284584
gram3 8 1800x1800 1.645448
gram3 8 2000x2000 2.495141

gram3 16 10x10 0.001794
gram3 16 50x50 0.005559
gram3 16 100x100 0.009044
gram3 16 200x200 0.017896
gram3 16 300x300 0.027727
gram3 16 400x400 0.041303
gram3 16 500x500 0.046327
gram3 16 600x600 0.055478
gram3 16 700x700 0.068797
gram3 16 800x800 0.104270
gram3 16 900x900 0.123794
gram3 16 1000x1000 0.155255
gram3 16 1200x1200 0.259196
gram3 16 1400x1400 0.409624
gram3 16 1600x1600 0.610559
gram3 16 1800x1800 0.953279
gram3 16 2000x2000 1.760372

gram3 32 10x10 0.002811
gram3 32 50x50 0.005392
gram3 32 100x100 0.017552
gram3 32 200x200 0.031924
gram3 32 300x300 0.046178
gram3 32 400x400 0.064921
gram3 32 500x500 0.079340
gram3 32 600x600 0.108747
gram3 32 700x700 0.116315
gram3 32 800x800 0.148215
gram3 32 900x900 0.156200
gram3 32 1000x1000 0.190196
gram3 32 1200x1200 0.220333
gram3 32 1400x1400 0.250529
gram3 32 1600x1600 0.460930
gram3 32 1800x1800 0.538909
gram3 32 2000x2000 1.294852
